STN,LOCATION
042110,Unknown
042140,Unknown
042200,Unknown
042280,Unknown
042310,Greenland
042340,Unknown
042420,Unknown
042500,Unknown
042530,Unknown
042605,Unknown
042660,Unknown
042700,Greenland
042720,Unknown
042850,Unknown
043010,Unknown
043120,Greenland
043130,Unknown
043200,Greenland
043300,Greenland
043390,Greenland
043410,Greenland
043510,Unknown
043600,Unknown
043610,Greenland
043730,Unknown
043820,Unknown
043900,Unknown
044160,Greenland
060080,Faroe Islands
060100,Faroe Islands
060110,Faroe Islands
060130,Namibia
060160,Unknown
060170,Unknown
060190,Denmark
060220,Unknown
060221,Unknown
060222,Unknown
060223,Unknown
060224,Unknown
060300,Denmark
060310,Denmark
060320,Denmark
060340,Denmark
060410,Unknown
060490,Denmark
060520,Denmark
060560,Denmark
060580,Unknown
060600,Denmark
060650,Denmark
060660,Denmark
060680,Denmark
060700,Denmark
060720,Denmark
060730,Unknown
060740,Denmark
060790,Unknown
060800,Denmark
060810,Unknown
060820,Denmark
060930,Denmark
060960,Denmark
061020,Denmark
061040,Denmark
061080,Denmark
061090,Denmark
061100,Denmark
061180,Denmark
061190,Unknown
061200,Denmark
061230,Unknown
061240,Unknown
061260,Denmark
061350,Denmark
061360,Denmark
061380,Unknown
061410,Denmark
061470,Unknown
061490,Unknown
061510,Unknown
061540,Denmark
061551,Denmark
061560,Denmark
061590,Unknown
061680,Denmark
061690,Unknown
061700,Denmark
061740,Denmark
061800,Denmark
061810,Denmark
061830,Unknown
061880,Denmark
061900,Denmark
061930,Denmark
061970,Denmark
062010,Unknown
062030,Unknown
062040,Unknown
062050,Unknown
062060,Unknown
062070,Unknown
062080,Unknown
062110,Unknown
062120,Unknown
062350,Netherlands
062390,Unknown
062400,Netherlands
062420,Netherlands
062490,Netherlands
062510,Netherlands
062520,Unknown
062570,Netherlands
062600,Netherlands
062670,Netherlands
062690,Netherlands
062693,Netherlands
062700,Netherlands
062730,Netherlands
062750,Netherlands
062770,Unknown
062780,Netherlands
062790,Netherlands
062800,Netherlands
062830,Netherlands
062860,Netherlands
062900,Netherlands
063100,Netherlands
063190,Netherlands
063200,Unknown
063210,Unknown
063230,Netherlands
063300,Netherlands
063400,Netherlands
063440,Netherlands
063480,Netherlands
063500,Netherlands
063560,Netherlands
063700,Netherlands
063750,Netherlands
063770,Netherlands
063800,Netherlands
063910,Germany
064000,Belgium
064070,Belgium
064140,Belgium
064180,Unknown
064280,Belgium
064320,Belgium
064325,Belgium
064340,Belgium
064390,Belgium
064470,Belgium
064490,Belgium
064500,Belgium
064510,Belgium
064550,Belgium
064560,Belgium
064580,Belgium
064590,Belgium
064640,Belgium
064650,Belgium
064720,Belgium
064760,Belgium
064765,Belgium
064770,Belgium
064780,Belgium
064790,Belgium
064840,Belgium
064900,Belgium
064901,Belgium
